,日期,沪深300月度收益率(%)
176,2017-09,0.37313964177063674
177,2017-10,4.446263229513003
178,2017-11,-0.029656289567858707
179,2017-12,0.6353967457071841
180,2018-01,6.085606496131435
181,2018-02,-5.887721724560535
182,2018-03,-3.1159059795360045
183,2018-04,-3.634595327000123
184,2018-05,1.2123356704320631
185,2018-06,-7.670039668809947
186,2018-07,0.20810887801667732
187,2018-08,-5.208206554418049
188,2018-09,3.1377395946749598
189,2018-10,-8.308575213516466
190,2018-11,0.6216132001966246
191,2018-12,-5.1126557909502495
192,2019-01,6.329221393925422
193,2019-02,14.612880455380473
194,2019-03,5.544930506560353
195,2019-04,1.065711740932529
196,2019-05,-7.238254166241697
197,2019-06,5.407539178182819
198,2019-07,0.27489104857378877
199,2019-08,-0.9287560308163578
200,2019-09,0.405794100441903
201,2019-10,1.879760431633204
